Respondent_Serial,NPS2
2296,"Their customer service is either really good, or really bad depending on which person you get."
2298,service sucks stupid people working for them
2299,had Verizon for 19  years and no problems
2301,Never had a problem with them
2302,They keep raising my rates and won't honor pricing they set.
2306,only phone service available here
2310,
2311,It is good but expensive
2314,very good
2319,Good
2320,
2322,"They OVER charge for the digital boxes needed.  When you have multiple TVs (more than 2 in a house, it gets very expensive)"
2325,
2326,
2327,Spotty coverage
2332,Time Warner has been my provider for 5-6 years and I have been satisfied with the services.
2335,I like fios but their customer service is lacking
2337,"Love their service! Customer service is also, fantastic!!"
2339,great service and price
2342,
2348,
2349,AFTER THE PROMOTIONAL PERIOD THE SERVICE IS TOO EXPENSIVE
2350,No prpblems.
2351,Comcast is the only thing available in my area
2352,Because it works out okay with me.
2353,
2358,"Early during the seven years *we* have had AT&T U-Verse there were several periods of *days* of disconnections that were attributed to *preventable* hardware and software *outdated* components.  While the service has been merely *acceptable* while *we* were connected, these periods were *inexcusable* and seemed to *me* entirely *preventable*."
2363,"have used for a long time, do not know how it compares to other companies, fees pretty high"
2364,expensive
2368,very good
2369,
2373,service sucks
2376,Reliable service.
2377,
2378,they suck
2384,I have never had a problem with them.
2386,
2387,great customer service
2388,I can bundle and customer service is great
2390,
2392,cost / quality
2393,i don't make recommendations
2395,Xfinity has excellent products but too expensive and have unnecessary fees added on monthly that they should absorb.
2396,
2406,
2408,YEARS of satisfactory service
2410,Their internet service is horrible but they are the only choice where I live
2412,because since I got verse a few months ago it has gone out of service three times
2413,
2416,"one bill, one company"
2417,"service is terrible, website is hard to use, DSL is slow"
2419,It's really good but always has room for immporvment.
2421,High price
2424,
2425,they are always trying to increase what you are buying from them and it is always going up after a year at a low bundled price
2426,"they provide consistant services, services work when it rains, they charge too much"
2434,
2438,the quality of the directv is awful. we have very poor quality and the service is often interrupted
2441,experience
2447,bc its ok
2449,Good reliable service
2452,
2453,Easy to deal with
2456,Good service but high cost.
2460,No reason
2471,Don't usually get asked to recommend nor do I volunteer such onfo.
2475,I have been very happy with the service I receive from AT&T
2477,To expensive
2482,it's okay
2487,"Good reliability, fast speed"
2493,"There is always a pause or disconnect of service, too many outages"
2499,Verizon has good coverage and is reliable
2501,interruptions in service and cost
2503,Their customer service for uVerse Internet service leaves a lot to be desired
2507,
2509,
2510,price and customer service
2514,"Service is good, but prices could be better"
2516,
2523,Good service.
2526,no problems
2528,
2534,Getting false info from customer service.
2536,great service generally without interruptions
2539,
2544,It is not as fast as Verizon Fios. The picture quality is not as good.
2546,I['ve used them for years and have no complaints.
2547,
2548,
2549,Good experience
2552,"they are the best, in taking care of any problems that I may have."
2553,the bill doesn't stay at the same amount from month to month
2554,"They are good, but I think they charge too much and seem to feel compelled to raise prices yearly.  Customer service is very good."
2557,expensive - home phone connection is crappy a lot of the time
2558,excellent customer service
2560,I haven't had any problems with them for years.
2561,have more atenttion
2564,
2567,
2568,Like everything about them except for the price. Deducted one point because the price is too high. Even though I am very satisfied with the service- may have to look around for an alternative because the price is too high
2569,"im generally satisfied with my carrier, but I usually do not make these types of recommendations"
2576,No reason
2578,works well
2580,very good
2582,I haven't decided if they deserve anything higher yet
2586,The service we get is horrible
2587,i had it for a while and is the best i ever had !
2588,not good serive and to expensive
2589,I like them
2600,"optimum is the only game in town, so there is no choice around here, I don't like the outrageous rates optimum gets away with, even though their advertized rates are much lower"
2602,Excellent phone service.
2603,
2604,i have no complaints but i hear some from other people
2607,will let friends know about xfinity services
2609,"They have wonderful customer services, they always fix problems we have, we have been with them for 20 years now."
2610,There are fair priced
2612,great
2617,The company has been very good to me with their service and very little down time even when the power is out I still have internet
2620,They charge too much for basicly nothing.
2621,They raise prices without notice and give items free like tv adaptors only to charge rent on them two years later.
2622,
2625,"We like the internet and telephone, but we have problems with the TV.  Often it take a lot of turning the TV off and on several times for it to come on. Sometimes there are problems with the receptions- the picture goes out for short periods."
2627,phone works ok
2630,
2635,
2637,good relisble service
2639,I like the service
2641,
2645,kind of expensive
2649,
2650,I've been please with their service for almost 14 years
2653,I don't trust them. They nickel and dime their best customers. I'm always alert to this and will drop them like a bad habit as I did my ATT cellular after 20 years!
2655,
